Jan 15 02:46:34 dnsmasq[4549]: started, version 2.90 cachesize 400
Jan 15 02:46:34 dnsmasq[4549]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 15 02:46:34 dnsmasq[4549]: chown of PID file /var/run/NetworkManager/dnsmasq.pid failed: Operation not permitted
Jan 15 02:46:34 dnsmasq[4549]: DBus support enabled: connected to system bus
Jan 15 02:46:34 dnsmasq[4549]: warning: failed to change owner of /opt/logs/dnsmasq.log: Operation not permitted
Jan 15 02:46:34 dnsmasq[4549]: warning: interface dobby0 does not currently exist
Jan 15 02:46:34 dnsmasq[4549]: warning: no upstream servers configured
Jan 15 02:46:34 dnsmasq[4549]: init_msgq_presence open msgq 12
Jan 15 02:46:34 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:34 dnsmasq[4549]: cleared cache
Jan 15 02:46:34 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:34 dnsmasq[4549]: setting upstream servers from DBus
Jan 15 02:46:34 dnsmasq[4549]: using nameserver 79.79.79.79#53(via wlan0)
Jan 15 02:46:34 dnsmasq[4549]: using nameserver 79.79.79.79#53 for domain lan 
Jan 15 02:46:34 dnsmasq[4549]: using nameserver 79.79.79.79#53 for domain 1.168.192.in-addr.arpa 
Jan 15 02:46:34 dnsmasq[4549]: using nameserver 79.79.79.80#53(via wlan0)
Jan 15 02:46:34 dnsmasq[4549]: using nameserver 79.79.79.80#53 for domain lan 
Jan 15 02:46:34 dnsmasq[4549]: using nameserver 79.79.79.80#53 for domain 1.168.192.in-addr.arpa 
Jan 15 02:46:34 dnsmasq[4549]: cleared cache
Jan 15 02:46:34 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:35 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:36 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:36 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:36 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:36 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:37 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:37 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:38 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:38 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:39 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:40 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:41 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:41 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:41 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:41 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 15 02:46:42 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:06 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:07 dnsmasq[4549]: Poll listen presence mq
