2025-12-03T08:39:01.369Z sh[4251]:  Start Mediarite
2025-12-03T08:39:01.512Z sh[4251]:  FUTARQUE_IDENTITY from ifconfig is:'D4:52:EE:59:E3:E7'
2025-12-03T08:39:01.513Z sh[4251]:  FUTARQUE_SERIALNO_UINT64 from FUTARQUE_IDENTITY is:'0xD452EE59E3E7'
2025-12-03T08:39:01.513Z sh[4251]:  NETWORK_IDENTITY from /tmp/.model_number is:'SKXI11ADS'
2025-12-03T08:39:01.513Z sh[4251]:  SOC from /etc/device.properties is:'REALTEK'
2025-12-03T08:39:01.513Z sh[4251]:  BUILD_TYPE from /etc/device.properties is:'prod'
2025-12-03T08:39:01.513Z sh[4251]:  FRIENDLY_ID from /etc/device.properties is:'Sky XiOne UK'
2025-12-03T08:39:01.513Z sh[4251]:  GDPR_LOCALE from /etc/device.properties is:'UK'
2025-12-03T08:39:01.513Z sh[4251]:  MODEL_NUM from /etc/device.properties is:'SKXI11ADS'
2025-12-03T08:39:01.513Z sh[4251]:  REMOTE_ACCESS is:'0'
2025-12-03T08:39:01.571Z sh[4251]:  Configuring environments for Realtek
2026-01-15T02:46:34.101Z sh[4251]:  export AUDIO_SINK_USE_ESSRMGR="1"
2026-01-15T02:46:34.101Z sh[4251]:  export BUILD_TYPE="prod"
2026-01-15T02:46:34.101Z sh[4251]:  export DBUS_SESSION_BUS_ADDRESS="unix:path=/var/run/dbus/system_bus_socket"
2026-01-15T02:46:34.124Z sh[4251]:  export DROPBEAR_EXTRA_ARGS=" -s -a"
2026-01-15T02:46:34.124Z sh[4251]:  export DROPBEAR_PARAMS="-r /tmp/.dropbear/dropcfg1 -r /tmp/.dropbear/dropcfg2"
2026-01-15T02:46:34.124Z sh[4251]:  export FRIENDLY_ID="Sky XiOne UK"
2026-01-15T02:46:34.124Z sh[4251]:  export FUTARQUE_IDENTITY="D4:52:EE:59:E3:E7"
2026-01-15T02:46:34.124Z sh[4251]:  export FUTARQUE_SERIALNO_UINT64="0xD452EE59E3E7"
2026-01-15T02:46:34.124Z sh[4251]:  export GDPR_LOCALE="UK"
