2025-12-03T08:38:55.183Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.231Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.271Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.323Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.200Z sh[3141]:  active
2025-12-03T08:38:55.257Z sh[3141]:  country=GB
2025-12-03T08:38:55.277Z sh[3141]:  PMF is already set in config file
2025-12-03T08:38:55.561Z sh[3238]:  1764751135.557970: wpa_supplicant v2.10
2025-12-03T08:38:55.562Z sh[3238]:  1764751135.558181: random: Trying to read entropy from /dev/random
2025-12-03T08:38:55.564Z sh[3238]:  1764751135.564068: dbus: Register D-Bus object '/fi/w1/wpa_supplicant1'
2025-12-03T08:38:55.568Z sh[3238]:  1764751135.568228: Providing DBus service 'fi.w1.wpa_supplicant1'.
2025-12-03T08:38:55.568Z sh[3238]:  1764751135.568568: Successfully initialized wpa_supplicant
2025-12-03T08:38:55.568Z sh[3238]:  1764751135.568779: Initializing interface 'wlan0' conf '/opt/secure/wifi/wpa_supplicant.conf' driver 'nl80211' ctrl_interface 'N/A' bridge 'N/A'
2025-12-03T08:38:55.568Z sh[3238]:  1764751135.568917: Configuration file '/opt/secure/wifi/wpa_supplicant.conf' -> '/opt/secure/wifi/wpa_supplicant.conf'
2025-12-03T08:38:55.569Z sh[3238]:  1764751135.569079: Reading configuration file '/opt/secure/wifi/wpa_supplicant.conf'
2025-12-03T08:38:55.569Z sh[3238]:  1764751135.569342: ctrl_interface='/var/run/wpa_supplicant'
2025-12-03T08:38:55.569Z sh[3238]:  1764751135.569533: update_config=1
2025-12-03T08:38:55.569Z sh[3238]:  1764751135.569660: country='GB'
2025-12-03T08:38:55.569Z sh[3238]:  1764751135.569819: pmf=1
2025-12-03T08:38:55.570Z sh[3238]:  1764751135.569966: wowlan_triggers='any'
2025-12-03T08:38:55.571Z sh[3238]:  1764751135.571625: nl80211: Using driver-based roaming
2025-12-03T08:38:55.575Z sh[3238]:  1764751135.572203: nl80211: TDLS supported
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572232: nl80211: TDLS external setup
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572251: nl80211: Supported cipher 00-0f-ac:1
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572261: nl80211: Supported cipher 00-0f-ac:5
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572269: nl80211: Supported cipher 00-0f-ac:2
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572277: nl80211: Supported cipher 00-40-96:254
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572284: nl80211: Supported cipher 00-40-96:255
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572292: nl80211: Supported cipher 00-0f-ac:4
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572299: nl80211: Supported cipher 00-14-72:1
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572307: nl80211: Supported cipher 00-0f-ac:6
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572379: nl80211: Supported cipher 00-0f-ac:11
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572390: nl80211: Supported cipher 00-0f-ac:12
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572398: nl80211: Supported cipher 00-0f-ac:8
2025-12-03T08:38:55.576Z sh[3238]:  1764751135.572406: nl80211: Supported cipher 00-0f-ac:9
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572413: nl80211: Supports Probe Response offload in AP mode
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572534: nl80211: Using driver-based off-channel TX
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572578: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=11
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572590: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=22
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572598: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=13
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572608: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=16
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572619: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=14
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572627: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=15
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572634: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=38
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572643: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=39
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572650: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=42
2025-12-03T08:38:55.577Z sh[3238]:  1764751135.572657: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=40
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572664: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=120
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572671: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=121
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572678: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=54
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572685: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=55
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572692: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=61
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572699: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=74
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572705: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=75
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572712: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=169
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572719: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=64
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572725: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=62
2025-12-03T08:38:55.578Z sh[3238]:  1764751135.572732: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=77
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572739: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=103
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572746: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=104
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572753: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=119
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572759: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=78
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572766: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=79
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572773: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=80
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572780: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=82
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572787: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=76
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572796: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=106
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572803: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=145
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572810: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=101
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572816: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=108
2025-12-03T08:38:55.579Z sh[3238]:  1764751135.572823: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=102
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572832: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=109
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572843: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=115
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572852: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=83
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572858: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=116
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572865: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=117
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572872: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=10
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572878: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=118
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572885: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=122
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572892: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=123
2025-12-03T08:38:55.580Z sh[3238]:  1764751135.572899: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=124
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572906: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=85
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572916: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=84
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572923: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=147
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572930: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=105
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572936: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=9
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572943: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=137
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572950: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=143
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572956: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=34
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572963: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=35
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.572971: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=36
2025-12-03T08:38:55.581Z sh[3238]:  1764751135.576060: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=164
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576079: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=146
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576087: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=152
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576094: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=127
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576102: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=149
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576110: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=150
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576117: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=151
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576124: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=154
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576130: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=155
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576137: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=158
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576143: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=159
2025-12-03T08:38:55.582Z sh[3238]:  1764751135.576150: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=160
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576156: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=161
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576163: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=144
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576169: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=138
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576175: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=156
2025-12-03T08:38:55.583Z sh[3238]:  1764751135.576182: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=12
