2025-12-03T08:38:56.115Z bluetoothd[3410]:  Bluetooth daemon 5.48
2025-12-03T08:38:56.136Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() parsing /etc/bluetooth/main.conf
2025-12-03T08:38:56.136Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() discovto=180
2025-12-03T08:38:56.137Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() pairto=180
2025-12-03T08:38:56.137Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() Key file does not have key “Privacy” in group “General”
2025-12-03T08:38:56.137Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() Key file does not have key “TemporaryTimeout” in group “General”
2025-12-03T08:38:56.137Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() name=Sky
2025-12-03T08:38:56.137Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() class=0x040414
2025-12-03T08:38:56.138Z bluetoothd[3410]:  ../bluez-5.48/src/main.c:parse_config() Key file does not have key “DeviceID” in group “General”
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_init() sending read version command
2025-12-03T08:38:56.163Z bluetoothd[3410]:  Starting SDP server
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:register_device_id() Adding device id record for 0002:1d6b:0246:0530
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:plugin_init() Loading builtin plugins
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading hostname plugin
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading wiimote plugin
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading autopair plugin
2025-12-03T08:38:56.163Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading policy plugin
2025-12-03T08:38:56.164Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading a2dp plugin
2025-12-03T08:38:56.164Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading avrcp plugin
2025-12-03T08:38:56.164Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading network plugin
2025-12-03T08:38:56.164Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading input plugin
2025-12-03T08:38:56.164Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading hog plugin
2025-12-03T08:38:56.164Z bluetoothd[3410]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading gap plugin
