Jan 16 01:31:49 dnsmasq[4577]: started, version 2.90 cachesize 400
Jan 16 01:31:49 dnsmasq[4577]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 01:31:49 dnsmasq[4577]: chown of PID file /var/run/NetworkManager/dnsmasq.pid failed: Operation not permitted
Jan 16 01:31:49 dnsmasq[4577]: DBus support enabled: connected to system bus
Jan 16 01:31:49 dnsmasq[4577]: warning: failed to change owner of /opt/logs/dnsmasq.log: Operation not permitted
Jan 16 01:31:49 dnsmasq[4577]: warning: interface dobby0 does not currently exist
Jan 16 01:31:49 dnsmasq[4577]: warning: no upstream servers configured
Jan 16 01:31:49 dnsmasq[4577]: init_msgq_presence open msgq 12
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: cleared cache
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: setting upstream servers from DBus
Jan 16 01:31:49 dnsmasq[4577]: using nameserver 8.8.8.8#53(via wlan0)
Jan 16 01:31:49 dnsmasq[4577]: using nameserver 8.8.8.8#53 for domain 68.168.192.in-addr.arpa 
Jan 16 01:31:49 dnsmasq[4577]: using nameserver 8.8.4.4#53(via wlan0)
Jan 16 01:31:49 dnsmasq[4577]: using nameserver 8.8.4.4#53 for domain 68.168.192.in-addr.arpa 
Jan 16 01:31:49 dnsmasq[4577]: cleared cache
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:54 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:55 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:55 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:55 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:55 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:55 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:55 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:56 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:56 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:56 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:56 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:56 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:56 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:31:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:42 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:42 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:42 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:43 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:43 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:43 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:43 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:44 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:45 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:45 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:45 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:47 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:47 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:48 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:49 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:50 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:51 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:52 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:53 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:57 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:58 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:58 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:59 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:59 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:59 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:38:59 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:00 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:01 dnsmasq[4577]: Poll listen presence mq
Jan 16 01:39:01 dnsmasq[4577]: Poll listen presence mq
