2025-12-03T08:39:01.319Z sh[4249]:  Start Mediarite
2025-12-03T08:39:01.453Z sh[4249]:  FUTARQUE_IDENTITY from ifconfig is:'D4:DA:CD:CB:2D:79'
2025-12-03T08:39:01.453Z sh[4249]:  FUTARQUE_SERIALNO_UINT64 from FUTARQUE_IDENTITY is:'0xD4DACDCB2D79'
2025-12-03T08:39:01.453Z sh[4249]:  NETWORK_IDENTITY from /tmp/.model_number is:'SKXI11ADS'
2025-12-03T08:39:01.453Z sh[4249]:  SOC from /etc/device.properties is:'REALTEK'
2025-12-03T08:39:01.453Z sh[4249]:  BUILD_TYPE from /etc/device.properties is:'prod'
2025-12-03T08:39:01.453Z sh[4249]:  FRIENDLY_ID from /etc/device.properties is:'Sky XiOne UK'
2025-12-03T08:39:01.453Z sh[4249]:  GDPR_LOCALE from /etc/device.properties is:'UK'
2025-12-03T08:39:01.453Z sh[4249]:  MODEL_NUM from /etc/device.properties is:'SKXI11ADS'
2025-12-03T08:39:01.453Z sh[4249]:  REMOTE_ACCESS is:'0'
2025-12-03T08:39:01.581Z sh[4249]:  Configuring environments for Realtek
2025-12-03T08:39:02.039Z sh[4249]:  export AUDIO_SINK_USE_ESSRMGR="1"
2025-12-03T08:39:02.039Z sh[4249]:  export BUILD_TYPE="prod"
2025-12-03T08:39:02.039Z sh[4249]:  export DBUS_SESSION_BUS_ADDRESS="unix:path=/var/run/dbus/system_bus_socket"
2025-12-03T08:39:02.039Z sh[4249]:  export DROPBEAR_EXTRA_ARGS=" -s -a"
2025-12-03T08:39:02.039Z sh[4249]:  export DROPBEAR_PARAMS="-r /tmp/.dropbear/dropcfg1 -r /tmp/.dropbear/dropcfg2"
2025-12-03T08:39:02.039Z sh[4249]:  export FRIENDLY_ID="Sky XiOne UK"
2025-12-03T08:39:02.039Z sh[4249]:  export FUTARQUE_IDENTITY="D4:DA:CD:CB:2D:79"
2025-12-03T08:39:02.039Z sh[4249]:  export FUTARQUE_SERIALNO_UINT64="0xD4DACDCB2D79"
2025-12-03T08:39:02.039Z sh[4249]:  export GDPR_LOCALE="UK"
2025-12-03T08:39:02.039Z sh[4249]:  export GST_AUDIO_SINK="rtkaudiosink"
2025-12-03T08:39:02.040Z sh[4249]:  export GST_HW_AV_SYNC="1"
2025-12-03T08:39:02.040Z sh[4249]:  export GST_PLAY_FLAG_NATIVE_VIDEO="1"
2025-12-03T08:39:02.040Z sh[4249]:  export GST_UNMAPPED_BUFFER_TIME_STAMPS="1"
2025-12-03T08:39:02.040Z sh[4249]:  export GST_USE_PCR_SINK="1"
