2025-12-03T08:38:55.224Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.277Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.303Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.357Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.244Z sh[3152]:  active
2025-12-03T08:38:55.289Z sh[3152]:  country=GB
2025-12-03T08:38:55.309Z sh[3152]:  PMF is already set in config file
2025-12-03T08:38:55.698Z sh[3245]:  1764751135.695227: wpa_supplicant v2.10
2025-12-03T08:38:55.699Z sh[3245]:  1764751135.695442: random: Trying to read entropy from /dev/random
2025-12-03T08:38:55.717Z sh[3245]:  1764751135.715504: dbus: Register D-Bus object '/fi/w1/wpa_supplicant1'
2025-12-03T08:38:55.720Z sh[3245]:  1764751135.719415: Providing DBus service 'fi.w1.wpa_supplicant1'.
2025-12-03T08:38:55.727Z sh[3245]:  1764751135.719506: Successfully initialized wpa_supplicant
2025-12-03T08:38:55.727Z sh[3245]:  1764751135.719592: Initializing interface 'wlan0' conf '/opt/secure/wifi/wpa_supplicant.conf' driver 'nl80211' ctrl_interface 'N/A' bridge 'N/A'
2025-12-03T08:38:55.727Z sh[3245]:  1764751135.719605: Configuration file '/opt/secure/wifi/wpa_supplicant.conf' -> '/opt/secure/wifi/wpa_supplicant.conf'
2025-12-03T08:38:55.727Z sh[3245]:  1764751135.719622: Reading configuration file '/opt/secure/wifi/wpa_supplicant.conf'
2025-12-03T08:38:55.727Z sh[3245]:  1764751135.719749: ctrl_interface='/var/run/wpa_supplicant'
2025-12-03T08:38:55.727Z sh[3245]:  1764751135.719784: update_config=1
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.719798: country='GB'
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.719812: pmf=1
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.719827: wowlan_triggers='any'
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723242: nl80211: Using driver-based roaming
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723271: nl80211: TDLS supported
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723281: nl80211: TDLS external setup
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723295: nl80211: Supported cipher 00-0f-ac:1
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723307: nl80211: Supported cipher 00-0f-ac:5
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723315: nl80211: Supported cipher 00-0f-ac:2
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723322: nl80211: Supported cipher 00-40-96:254
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723329: nl80211: Supported cipher 00-40-96:255
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723337: nl80211: Supported cipher 00-0f-ac:4
2025-12-03T08:38:55.728Z sh[3245]:  1764751135.723349: nl80211: Supported cipher 00-14-72:1
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723359: nl80211: Supported cipher 00-0f-ac:6
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723367: nl80211: Supported cipher 00-0f-ac:11
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723374: nl80211: Supported cipher 00-0f-ac:12
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723385: nl80211: Supported cipher 00-0f-ac:8
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723396: nl80211: Supported cipher 00-0f-ac:9
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723404: nl80211: Supports Probe Response offload in AP mode
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723529: nl80211: Using driver-based off-channel TX
2025-12-03T08:38:55.729Z sh[3245]:  1764751135.723567: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=11
